Gene.Name	Con1-Con2_log2.fold.change	Con1-Con2_p.adj
gene259	0.974960176	4.38E-05
gene260	0.630157925	4.42E-05
gene261	0.60952575	4.46E-05
gene262	-1.857131395	0.000102808
gene263	-0.796169312	4.76E-05
gene264	0.580640228	4.76E-05
gene265	-0.716407118	6.25E-05
gene266	-0.676473839	5.18E-05
gene267	-0.628705437	5.96E-05
gene268	-0.448807543	5.05E-05
gene269	-1.01727822	6.52E-05
gene270	-1.053350434	8.78E-05
gene271	0.68449007	5.42E-05
gene272	-0.719595149	5.42E-05
gene273	0.879541347	5.42E-05
gene274	0.503041261	5.46E-05
gene275	-0.944381285	7.26E-05
gene276	-2.67581393	0.000169988
gene277	1.374605881	0.000136934
gene278	-0.506256746	6.14E-05
gene279	0.649364858	5.94E-05
gene280	-1.67412366	7.69E-05
gene281	0.59262577	6.58E-05
gene282	0.475501976	5.96E-05
gene283	-0.868186118	5.96E-05
gene284	1.264898913	0.00013137
gene285	0.481198762	6.14E-05
gene286	0.769349163	6.92E-05
gene287	0.469465969	6.35E-05
gene288	0.526427103	6.42E-05
gene289	0.802857493	6.51E-05
gene290	1.07769839	6.52E-05
gene291	-0.569937469	7.01E-05
gene292	0.745930644	6.93E-05
gene293	-2.009546963	0.0002087
gene294	-0.543549104	8.03E-05
gene295	0.676057932	8.12E-05
gene296	-0.63912625	7.54E-05
gene297	0.582845214	7.54E-05
gene298	0.490005924	8.57E-05
gene299	-1.004447591	8.11E-05
gene300	0.366206157	7.89E-05
gene301	-0.63166681	8.83E-05
gene302	-0.818768299	0.000102808
gene303	0.800083016	8.89E-05
gene304	0.905417689	9.05E-05
gene305	0.478494727	8.19E-05
gene306	-0.872744826	0.000100827
gene307	0.560844642	8.37E-05
gene308	0.594357896	9.79E-05
gene309	0.835987264	0.00013137
gene310	0.56125551	0.000100827
gene311	0.73125537	0.000102808
gene312	-0.728267618	0.00010978
gene313	-0.978761584	0.000121987
gene314	0.790744521	9.79E-05
gene315	-0.648258992	0.000109159
gene316	-0.489236042	0.000110299
gene317	0.491029445	0.000102808
gene318	0.647960883	0.000102808
gene319	-1.023840375	0.000102808
gene320	-0.697978177	0.000121987
gene321	0.86363279	0.000103241
gene322	-1.880827422	0.00013189
gene323	-0.427210609	0.000103879
gene324	-1.093358747	0.000103879
gene325	-0.466866024	0.000104003
gene326	0.499512317	0.000104003
gene327	1.066565302	0.000104003
gene328	-0.640895319	0.000117801
gene329	1.276552644	0.000150879
gene330	-0.922688786	0.000136934
gene331	-0.633612584	0.000110003
gene332	-1.093868123	0.000131314
gene333	0.373322707	0.000111164
gene334	0.74073633	0.000125358
gene335	-1.16360548	0.000161505
gene336	-0.585958358	0.000150365
gene337	-0.709648262	0.000141688
gene338	-0.60284011	0.00015248
gene339	-0.703150266	0.000121987
gene340	0.798756467	0.000179935
gene341	-0.962024403	0.000134835
gene342	-0.88648282	0.000226471
gene343	0.52889493	0.00012994
gene344	-0.938157959	0.00012643
gene345	0.511331412	0.000128192
gene346	0.518399344	0.000128453
gene347	-0.717372647	0.00016493
gene348	-2.86736328	0.000454384
gene349	-1.540501719	0.000195432
gene350	1.079848951	0.000195432
gene351	-0.692652556	0.000167674
gene352	-0.809215974	0.000157474
gene353	-0.449891237	0.000151433
gene354	-1.067715596	0.000152203
gene355	-0.443155068	0.000138787
gene356	-0.594090078	0.000175138
gene357	-1.23672051	0.000263311
gene358	0.634451563	0.000144919
gene359	0.655253644	0.000145706
gene360	-0.536507997	0.00016493
gene361	-0.749990921	0.000193602
gene362	0.617277537	0.000169988
gene363	-1.182285688	0.000196329
gene364	1.220523282	0.000271485
gene365	0.925462967	0.00016493
gene366	-0.788700018	0.000198942
gene367	1.117359955	0.000354588
gene368	-1.075466213	0.000164301
gene369	0.756648922	0.000206466
gene370	-0.768726499	0.000164661
gene371	0.570446802	0.000181719
gene372	-0.588052061	0.00016493
gene373	-0.594423094	0.000182045
gene374	1.07367214	0.000394648
gene375	-0.795969457	0.000167171
gene376	-0.727428376	0.000211295
gene377	0.368345689	0.000167664
gene378	-0.866642346	0.000211295
gene379	2.439319463	0.000325788
gene380	-0.459193179	0.000175138
gene381	-1.110340193	0.000418669
gene382	0.703053307	0.000208375
gene383	0.459311083	0.000179453
gene384	0.638398088	0.000233718
gene385	0.503526001	0.000195432
gene386	-0.63091762	0.000187291
gene387	-0.643877985	0.000239695
gene388	-0.568485195	0.000239989
gene389	0.902009517	0.000198942
gene390	-1.510283759	0.000657811
gene391	1.196408299	0.000477112
gene392	0.590040522	0.000208775
gene393	-0.83447081	0.000289925
gene394	0.739501926	0.000210377
gene395	0.622144105	0.000233993
gene396	0.756735613	0.000247768
gene397	-0.444282235	0.000211295
gene398	-0.442112448	0.000238186
gene399	0.925284212	0.000286725
gene400	0.652377584	0.000239695
gene401	-0.874323696	0.000411086
gene402	0.500064579	0.000220515
gene403	-0.63085045	0.00024139
gene404	-0.908744516	0.000271142
gene405	-1.304867957	0.00024139
gene406	0.700235284	0.000281895
gene407	0.473291248	0.000247768
gene408	-0.468552789	0.000247768
gene409	0.914068843	0.000260218
gene410	0.93534203	0.000434766
gene411	0.523684096	0.000275109
gene412	-2.749749846	0.000826797
gene413	-0.87823601	0.000275899
gene414	0.630378588	0.000263311
gene415	0.709297888	0.000277215
gene416	0.583042784	0.00027727
gene417	-1.768955479	0.000511759
gene418	0.513407859	0.000280332
gene419	0.747024401	0.000258955
gene420	0.602590972	0.000259574
gene421	-1.747902499	0.000368436
gene422	1.283616983	0.000259815
gene423	-1.13276117	0.000299159
gene424	-1.113919004	0.000473719
gene425	0.650749056	0.000286268
gene426	-0.763880105	0.000325788
gene427	1.583594997	0.000670037
gene428	-0.382953397	0.000272418
gene429	0.459691177	0.000335254
gene430	-1.01954384	0.000336176
gene431	-0.579800787	0.000286268
gene432	-0.65457763	0.000276271
gene433	-2.027635884	0.000748373
gene434	0.437661137	0.000279796
gene435	0.924114339	0.000283166
gene436	0.592132401	0.000315411
gene437	-0.535260454	0.000290463
gene438	0.779786882	0.000293611
gene439	-0.540866417	0.000307963
gene440	-0.569371505	0.000293866
gene441	0.741694185	0.000468618
gene442	-0.659236679	0.000327934
gene443	-1.475133456	0.000434584
gene444	-0.56022027	0.000301824
gene445	-0.511351376	0.000370432
gene446	0.917314293	0.000332922
gene447	-0.753240045	0.000317729
gene448	0.795504918	0.000364582
gene449	1.072025587	0.000338448
gene450	0.652328148	0.000316035
gene451	-0.450296683	0.000347438
gene452	0.773048759	0.000318588
gene453	0.730228007	0.000348351
gene454	1.850615102	0.000449321
gene455	0.77429945	0.000354588
gene456	0.517352868	0.000325788
gene457	0.652256298	0.000354918
gene458	0.468065354	0.000405577
gene459	-0.552218941	0.000335058
gene460	-0.60932964	0.000479137
gene461	0.462886064	0.000337804
gene462	-0.529104081	0.000338448
gene463	-1.146978459	0.000530965
gene464	0.682373686	0.000352008
gene465	-0.446514411	0.00036026
gene466	-1.082959577	0.00047808
gene467	0.390427633	0.000366342
gene468	-1.024390426	0.000454384
gene469	0.452583564	0.000405354
gene470	0.510465035	0.000368436
gene471	-0.442103159	0.000368436
gene472	0.417296542	0.000369786
gene473	-1.366311331	0.000461887
gene474	0.360095594	0.000412944
gene475	0.781522041	0.000626436
gene476	-0.868814299	0.000466911
gene477	0.415051877	0.00038176
gene478	0.300299827	0.000388882
gene479	0.541779988	0.000477903
gene480	0.376043144	0.000439291
gene481	-0.827650386	0.000462654
gene482	0.935670646	0.000449874
gene483	0.885425218	0.000473145
gene484	0.492073311	0.000455495
gene485	-0.497504541	0.000418784
gene486	0.552148153	0.000508487
gene487	0.852582308	0.000522267
gene488	-0.795767954	0.000468618
gene489	0.503382837	0.000468618
gene490	0.648706706	0.000437269
gene491	0.351371748	0.000442358
gene492	0.545590358	0.000536741
gene493	0.633636161	0.000538771
gene494	0.774460081	0.00045297
gene495	0.641987763	0.000455014
gene496	0.934711658	0.000668761
gene497	-0.635738627	0.000501887
gene498	0.616564463	0.000466911
gene499	0.486212096	0.000507777
gene500	0.557388829	0.00047808
gene501	0.3866127	0.000522267
gene502	0.436780131	0.000485126
gene503	-0.682166131	0.000507777
gene504	0.525512315	0.00048704
gene505	0.69270958	0.000533047
gene506	-1.166673456	0.00078133
gene507	0.883950781	0.00078133
gene508	0.629605199	0.000508487
gene509	0.574840426	0.000517067
gene510	-0.80483666	0.000752094
gene511	-1.477966052	0.000547633
gene512	0.620524816	0.000577855
gene513	0.328639976	0.000536741
gene514	0.415412773	0.000536741
gene515	-0.591741558	0.00058966
gene516	0.925507561	0.000566558
gene517	-0.415828225	0.000593883
gene518	-0.671140624	0.000546049
gene519	0.436434618	0.000546049
gene520	-0.416417886	0.00059785
gene521	0.350743691	0.000547301
gene522	0.439787325	0.000640117
gene523	-0.735159023	0.000684118
gene524	0.431126617	0.000560557
gene525	-0.648718236	0.00057012
gene526	0.724366702	0.000630083
gene527	-0.985890303	0.000667425
gene528	0.745260186	0.000585063
gene529	-0.453313821	0.000608931
gene530	0.310315632	0.000591434
gene531	0.425623177	0.000653748
gene532	1.220995327	0.001651067
gene533	0.655951257	0.000608931
gene534	0.467156835	0.000668672
gene535	0.720444794	0.000670037
gene536	0.398448704	0.000621154
gene537	0.510798107	0.000625258
gene538	-0.978361881	0.001692923
gene539	0.673693237	0.000967623
gene540	-1.091066056	0.000782516
gene541	-0.55886082	0.000786476
gene542	0.324552407	0.000710365
gene543	-0.364186469	0.000662286
gene544	0.704839432	0.000758785
gene545	1.052066458	0.001415442
gene546	-0.635980627	0.000809368
gene547	0.887797351	0.000679734
gene548	-0.485981785	0.000827666
gene549	-0.589074136	0.000681261
gene550	-0.857949966	0.000749365
gene551	0.548087684	0.000749365
gene552	-0.553121985	0.000836403
gene553	-0.496943944	0.000691724
gene554	0.517128	0.000837097
gene555	0.434398761	0.000837097
gene556	-0.456196133	0.000725384
gene557	0.706742782	0.001639945
gene558	-0.699925489	0.000842949
gene559	0.343620779	0.000703087
gene560	-0.411736216	0.000715588
gene561	-0.46907293	0.00077795
gene562	0.375684726	0.000786476
gene563	1.132663826	0.001047919
gene564	0.476175786	0.000749365
gene565	-0.618848983	0.000749365
gene566	-0.58966338	0.00081299
gene567	0.386103358	0.000769733
gene568	-0.933552186	0.000769733
gene569	0.389515771	0.00077795
gene570	-0.461809404	0.000809368
gene571	0.870637381	0.001228066
gene572	0.832281821	0.000965768
gene573	0.525963951	0.000861504
gene574	-0.538942464	0.000864724
gene575	0.726157283	0.000837
gene576	-0.76512262	0.000837097
gene577	0.661210534	0.000934171
gene578	0.607640618	0.000884706
gene579	-0.601106545	0.000937185
gene580	-1.172537254	0.001727255
gene581	-0.665649042	0.000852759
gene582	-1.124365222	0.002713375
gene583	0.35360212	0.000834232
gene584	-0.320860358	0.000836403
gene585	-1.196896482	0.001467741
gene586	-0.694685285	0.001605801
gene587	0.483245024	0.000904424
gene588	-0.708329188	0.000910138
gene589	0.509194901	0.001006002
gene590	-0.617983115	0.001148854
gene591	0.580668912	0.00097127
gene592	-0.864324769	0.001161919
gene593	-1.0593385	0.000967623
gene594	-0.647587578	0.002254643
gene595	-1.486291227	0.00141513
gene596	0.579929117	0.001415442
gene597	0.323423433	0.000979
gene598	0.936707839	0.001835362
gene599	0.375376174	0.000998709
gene600	-0.624359015	0.001439596
gene601	-1.322065597	0.001229031
gene602	-1.360818509	0.001450339
gene603	-1.85158625	0.001601727
gene604	0.540015339	0.001170702
gene605	0.369045955	0.001068531
gene606	-0.752967493	0.001309627
gene607	-1.50273145	0.002259445
gene608	-0.361728322	0.001229031
gene609	0.63311073	0.001234097
gene610	0.684963463	0.001794201
gene611	0.442276998	0.001148854
gene612	0.658915736	0.002328645
gene613	0.368089265	0.001172439
gene614	0.476537035	0.001220575
gene615	-0.619451582	0.001672529
gene616	-0.530049936	0.001188284
gene617	-0.769056493	0.001238021
gene618	0.437108993	0.001214639
gene619	-0.730393063	0.001217926
gene620	1.004011369	0.002414065
gene621	0.855984493	0.002254643
gene622	0.762083489	0.002759353
gene623	0.926537436	0.002266122
gene624	0.697470928	0.002483301
gene625	1.030141374	0.002487309
gene626	0.533316174	0.001254999
gene627	-0.589160891	0.001439596
gene628	-0.361882785	0.001263383
gene629	-0.506585628	0.001391385
gene630	0.63229548	0.002340559
gene631	-0.767564527	0.002573478
gene632	0.715755098	0.001428148
gene633	0.855875209	0.004137032
gene634	0.306330225	0.001361241
gene635	-0.396092901	0.001362286
gene636	0.615832853	0.001924811
gene637	-1.599911019	0.001659402
gene638	-0.668144351	0.001397938
gene639	-0.458275964	0.001521959
gene640	-1.470560605	0.002525491
gene641	0.671342451	0.001846164
gene642	0.32030629	0.001463596
gene643	0.66016069	0.001673408
gene644	0.602541418	0.002110912
gene645	-1.056949083	0.001648669
gene646	0.526063682	0.001521959
gene647	-0.39579027	0.001521959
gene648	-0.829591691	0.002758034
gene649	-0.766368505	0.001901799
gene650	-0.387445905	0.001708496
gene651	-1.157693867	0.002103769
gene652	0.35657972	0.001611476
gene653	0.420621038	0.00161412
gene654	0.625721456	0.001673408
gene655	0.734229158	0.002146318
gene656	-0.320213064	0.001651067
gene657	-0.542391323	0.00165369
gene658	-0.730604332	0.001672453
gene659	-0.497058904	0.00168507
gene660	-0.42643358	0.001772429
gene661	0.414149928	0.002809744
gene662	1.782540873	0.010154372
gene663	0.637447616	0.003789634
gene664	0.680741027	0.001907629
gene665	-1.172907823	0.004496014
gene666	-0.337235699	0.001881064
gene667	-0.337228243	0.001901799
gene668	0.469060779	0.002266122
gene669	0.488114013	0.002414065
gene670	-0.572356144	0.002078537
gene671	0.249880328	0.001921593
gene672	-0.536893127	0.002196513
gene673	-0.363898467	0.001930503
gene674	-0.42615957	0.002103769
gene675	0.809507654	0.002245381
gene676	0.707539897	0.002912478
gene677	-0.656463203	0.002724651
gene678	0.269875052	0.002012016
gene679	-0.705210006	0.002266122
gene680	-0.309000089	0.002045756
gene681	1.176793348	0.008007012
gene682	-2.000490173	0.004414384
gene683	-0.353030445	0.002266122
gene684	0.684321388	0.002266122
gene685	0.547777848	0.002127129
gene686	1.093364804	0.004642053
gene687	-0.586820411	0.002545878
gene688	0.401795249	0.002415972
gene689	-1.040395083	0.002371612
gene690	1.074320707	0.002373081
gene691	0.458816508	0.002621201
gene692	-0.529890603	0.002245381
gene693	0.843382885	0.004686189
gene694	-1.279402803	0.004281449
gene695	-0.544589301	0.002259226
gene696	0.370021729	0.002266122
gene697	-0.43018365	0.002274108
gene698	-0.569502038	0.003121517
gene699	-0.581068663	0.002705196
gene700	-0.781359384	0.005513998
gene701	-0.514198505	0.002304145
gene702	-0.745034686	0.004137032
gene703	-0.732216056	0.004074054
gene704	-0.879311548	0.005002629
gene705	0.349471264	0.002573478
gene706	0.264967054	0.002414065
gene707	-0.928476507	0.006869715
gene708	0.521372928	0.003172848
gene709	-1.005389223	0.002781087
gene710	0.595844885	0.002487309
gene711	-0.41579467	0.003412563
gene712	0.443439505	0.002787355
gene713	-0.608520734	0.002573478
gene714	0.728612491	0.002849931
gene715	-0.500780879	0.002650243
gene716	-0.532684921	0.002865885
gene717	0.792536537	0.004661603
gene718	-0.494108623	0.002694851
gene719	0.453628582	0.002612599
gene720	-0.570426523	0.002926593
gene721	-0.945562663	0.003119985
gene722	-0.416474763	0.002867681
gene723	-0.491645342	0.003156617
gene724	-0.31324921	0.003007729
gene725	0.439595915	0.002705196
gene726	0.370455089	0.002705196
gene727	0.946093596	0.006488683
gene728	-0.714965271	0.005095281
gene729	-1.108583413	0.004497091
gene730	-0.67132794	0.004121489
gene731	-0.761530906	0.004134192
gene732	-0.825613302	0.002845728
gene733	0.320073538	0.002861129
gene734	-0.693115222	0.004226969
gene735	0.385759386	0.002912478
gene736	0.646350467	0.003139608
gene737	-0.661588704	0.002977778
gene738	-0.962340794	0.003661539
gene739	-0.67672132	0.00354033
gene740	-0.492375445	0.004115808
gene741	0.569993189	0.003256566
gene742	-0.693585657	0.00309106
gene743	-0.509618465	0.003651239
gene744	0.271898277	0.003139608
gene745	0.453648254	0.003139608
gene746	0.311728076	0.003156617
gene747	0.590509607	0.004313711
gene748	-0.886869611	0.005538745
gene749	-0.467391337	0.00346632
gene750	1.109859398	0.005558223
gene751	-1.25907826	0.005070929
gene752	-0.317186129	0.003654078
gene753	-0.611407253	0.004394855
gene754	-0.647129004	0.003271539
gene755	-1.419032985	0.006808607
gene756	-0.39053889	0.004394855
gene757	0.867505324	0.00478094
