Gene.Name	Con1-Con2_log2.fold.change	Con1-Con2_p.adj
gene1628	0.331926212	0.222841972
gene1629	-0.15607961	0.227302563
gene1630	-0.180256481	0.220007788
gene1631	0.29173919	0.360472129
gene1632	0.104115447	0.219332355
gene1633	-0.301292595	0.370738594
gene1634	-0.419503496	0.293126487
gene1635	-0.4285436	0.271506201
gene1636	-0.123968426	0.229331994
gene1637	-0.114216391	0.223299201
gene1638	-0.205187461	0.336267696
gene1639	-0.190008756	0.242188004
gene1640	0.186146263	0.234816925
gene1641	0.154497147	0.230307931
gene1642	-0.197834026	0.235573479
gene1643	-0.294641315	0.232567716
gene1644	-0.308468248	0.232567716
gene1645	-0.540190145	0.341710744
gene1646	0.180045888	0.229671351
gene1647	-0.2976586	0.242188004
gene1648	-0.221834424	0.231863268
gene1649	-0.44137497	0.246146137
gene1650	0.302915564	0.246224352
gene1651	-0.338354544	0.233529249
gene1652	-0.285599207	0.27396627
gene1653	-0.309115662	0.240142737
gene1654	-0.307042358	0.371750494
gene1655	0.23911784	0.239195606
gene1656	-0.170041139	0.246534326
gene1657	0.232717403	0.282907779
gene1658	0.156668159	0.320631467
gene1659	-0.280383379	0.377614553
gene1660	0.121849209	0.277766602
gene1661	-0.215610743	0.246531197
gene1662	0.443470013	0.298999968
gene1663	0.804812993	0.419810027
gene1664	-0.667998327	0.386538802
gene1665	0.165175666	0.246224352
gene1666	-0.246306587	0.25031109
gene1667	0.190105353	0.252592024
gene1668	-0.08450119	0.247619565
gene1669	-0.18700162	0.291214867
gene1670	0.185829221	0.258736835
gene1671	-0.168438566	0.296048257
gene1672	-0.148912292	0.293233837
gene1673	0.249842403	0.252590211
gene1674	-0.394339716	0.295313845
gene1675	-0.201387944	0.398123779
gene1676	-0.366859954	0.296972152
gene1677	-0.425863274	0.307100397
gene1678	0.133135147	0.256603067
gene1679	0.154124912	0.259908008
gene1680	-0.123706707	0.257061658
gene1681	-0.222319416	0.298999968
gene1682	0.311376564	0.308584749
gene1683	-0.206318196	0.258981225
gene1684	0.122935252	0.261274047
gene1685	-0.450332516	0.389606964
gene1686	0.156898312	0.270195295
gene1687	0.15253741	0.261274047
gene1688	0.248283301	0.268678537
gene1689	0.21902894	0.271506201
gene1690	0.210536321	0.263114001
gene1691	-0.241440821	0.272827594
gene1692	-0.141143843	0.270733919
gene1693	0.147563494	0.469639815
gene1694	-0.218865128	0.428528195
gene1695	-0.25951753	0.312262087
gene1696	-0.373807923	0.403909184
gene1697	0.141034687	0.267134307
gene1698	0.36634219	0.412855184
gene1699	0.121790343	0.271506201
gene1700	0.131175439	0.268198572
gene1701	0.088751943	0.268198572
gene1702	0.186379797	0.272188439
gene1703	0.125828656	0.272521115
gene1704	0.20995677	0.273268152
gene1705	-0.092551882	0.274173456
gene1706	-0.151736147	0.311150827
gene1707	0.105366875	0.271506201
gene1708	0.095530636	0.271506201
gene1709	0.248676816	0.428528195
gene1710	-0.159563295	0.314924856
gene1711	0.155595817	0.58196685
gene1712	-0.212167282	0.450270699
gene1713	-0.14808611	0.274173456
gene1714	0.269799161	0.279152838
gene1715	0.275792719	0.275528802
gene1716	0.231907311	0.279751958
gene1717	0.135506793	0.277874948
gene1718	-0.196047193	0.493269918
gene1719	-0.163248046	0.282472557
gene1720	0.18114645	0.422920027
gene1721	0.220661689	0.283619454
gene1722	-0.145917079	0.291214867
gene1723	-0.223515399	0.282907779
gene1724	0.198028688	0.45680199
gene1725	0.150913301	0.287189479
gene1726	-0.334049695	0.329356674
gene1727	-0.129154145	0.338402207
gene1728	0.129014291	0.287549035
gene1729	-0.392203342	0.43257869
gene1730	-0.176855622	0.28417497
gene1731	-0.145777856	0.50255242
gene1732	-0.146523579	0.604499892
gene1733	0.13404737	0.288653372
gene1734	-0.166864353	0.330763257
gene1735	0.202243713	0.357361921
gene1736	-1.390175529	0.332556138
gene1737	0.181521084	0.290260827
gene1738	-0.132361651	0.332755923
gene1739	-0.176075978	0.505289829
gene1740	0.131849812	0.492414362
gene1741	-0.182797157	0.383584483
gene1742	0.201093626	0.360579262
gene1743	-0.141229075	0.297367396
gene1744	0.232922376	0.293372843
gene1745	0.107153406	0.290260827
gene1746	0.10209352	0.293126487
gene1747	-0.190473868	0.291642987
gene1748	0.13971924	0.296048257
gene1749	0.161746004	0.464433622
gene1750	0.16054754	0.294980642
gene1751	-0.166098585	0.29548041
gene1752	0.1409394	0.482591983
gene1753	0.339972001	0.296993314
gene1754	0.184979527	0.306379949
gene1755	-0.127954522	0.450070879
gene1756	-0.196784344	0.3035871
gene1757	-0.132915159	0.297547898
gene1758	-0.15666008	0.362573397
gene1759	0.149741848	0.301387372
gene1760	-0.365984259	0.35606763
gene1761	0.23258971	0.307876797
gene1762	-0.16046307	0.463159456
gene1763	0.087882622	0.302418011
gene1764	0.197287552	0.308799378
gene1765	-0.310483107	0.464433622
gene1766	0.111805123	0.610259035
gene1767	-0.181197366	0.390026404
gene1768	0.097085762	0.305068546
gene1769	-0.085238608	0.307100397
gene1770	-0.130132253	0.540904027
gene1771	0.247346282	0.307947873
gene1772	0.159095986	0.309190577
gene1773	-0.122997221	0.311150827
gene1774	-0.123421496	0.360915312
gene1775	0.207545443	0.36206824
gene1776	-0.246051229	0.310836563
gene1777	-0.088444733	0.314664582
gene1778	-0.371034391	0.320631467
gene1779	0.237576336	0.318803152
gene1780	0.151331642	0.484616608
gene1781	-0.112066401	0.318485774
gene1782	-0.174927779	0.512383145
gene1783	-0.093924805	0.319728889
gene1784	0.471401223	0.486675446
gene1785	-0.238619129	0.325909539
gene1786	-0.105612416	0.324575233
gene1787	0.218243527	0.324695461
gene1788	-0.420491211	0.329971335
gene1789	0.080787182	0.321731934
gene1790	-0.149700029	0.386298314
gene1791	0.133603232	0.49448282
gene1792	-0.222466475	0.330458305
gene1793	0.105733193	0.324575233
gene1794	0.117036257	0.329356674
gene1795	0.185901026	0.328207419
gene1796	-0.110289013	0.698046433
gene1797	-0.327496223	0.334380141
gene1798	-0.398304818	0.338402207
gene1799	0.197089711	0.511113943
gene1800	0.192012213	0.332556138
gene1801	-0.091795009	0.332755923
gene1802	0.197075886	0.335121363
gene1803	0.198086766	0.512349618
gene1804	-0.117695873	0.444497029
gene1805	-0.223539605	0.571750043
gene1806	-0.189231295	0.516039901
gene1807	0.149611805	0.347343213
gene1808	0.164142899	0.338100925
gene1809	-0.168766268	0.341911168
gene1810	-0.423208779	0.599247815
gene1811	0.102513227	0.339296382
gene1812	0.115117792	0.529589269
gene1813	0.106939954	0.342365324
gene1814	0.163452508	0.348089113
gene1815	0.132114971	0.354021628
gene1816	-0.152018019	0.345638344
gene1817	-0.16962946	0.345638344
gene1818	0.125013159	0.739576842
gene1819	0.142663021	0.350119018
gene1820	-0.409502574	0.350119018
gene1821	0.183789268	0.357600147
gene1822	0.361836623	0.755288764
gene1823	0.127414146	0.360057425
gene1824	-0.257170159	0.469639815
gene1825	-0.236271744	0.422491575
gene1826	0.137282639	0.361525444
gene1827	-0.176951855	0.36120139
gene1828	0.077443345	0.360579262
gene1829	-0.432047749	0.560251025
gene1830	0.18094288	0.421140899
gene1831	-0.159180972	0.363729793
gene1832	-0.098871552	0.371750494
gene1833	-0.330774564	0.610259035
gene1834	-0.300682236	0.582545778
gene1835	-0.297140445	0.583388686
gene1836	-0.245031152	0.36899166
gene1837	0.222087007	0.367463873
gene1838	0.125043142	0.371750494
gene1839	0.137340806	0.370738594
gene1840	0.115281466	0.376215351
gene1841	0.112848118	0.377506815
gene1842	0.139998343	0.651925175
gene1843	0.124932503	0.58196685
gene1844	-0.235218592	0.442883508
gene1845	-0.090394979	0.384860687
gene1846	0.097657956	0.376213319
gene1847	0.110540109	0.376530952
gene1848	0.147411144	0.383584483
gene1849	0.050619786	0.82010445
gene1850	0.201165145	0.598676113
gene1851	-0.079074738	0.37931658
gene1852	-0.073337031	0.379478399
gene1853	0.114600049	0.385571698
gene1854	-0.187948771	0.617960976
gene1855	0.086891444	0.390026404
gene1856	0.134597973	0.390360979
gene1857	-0.113287852	0.390360979
gene1858	0.158879441	0.392423938
gene1859	0.284063821	0.393121742
gene1860	-0.040887212	0.89133799
gene1861	0.280624444	0.390986166
gene1862	0.092225025	0.394943136
gene1863	0.232806187	0.637761281
gene1864	-0.087015419	0.392423938
gene1865	-0.274723155	0.403127196
gene1866	0.194962388	0.469639815
gene1867	0.092991374	0.404369372
gene1868	-0.145557939	0.404369372
gene1869	-0.202630406	0.467737928
gene1870	0.092597115	0.396543042
gene1871	0.049377341	0.919948264
gene1872	0.09385055	0.677040386
gene1873	-0.281741394	0.636901328
gene1874	0.150480735	0.479539853
gene1875	-0.099781566	0.414001171
gene1876	0.111710828	0.473048167
gene1877	0.068797218	0.409822488
gene1878	-0.067712824	0.412092238
gene1879	-0.142943242	0.64883943
gene1880	0.127955591	0.411706544
gene1881	0.332204869	0.414711896
gene1882	0.122255259	0.422424246
gene1883	0.139533163	0.421498392
gene1884	0.220402391	0.670763307
gene1885	-0.109071626	0.424405217
gene1886	0.069268478	0.422424246
gene1887	-0.807538772	0.432318191
gene1888	-0.337437284	0.51493562
gene1889	-0.107562923	0.426052521
gene1890	0.11488183	0.426052521
gene1891	-0.077880233	0.426187113
gene1892	0.093226929	0.432489679
gene1893	-0.284799872	0.440879685
gene1894	-0.117490741	0.437920677
gene1895	0.117231681	0.500648864
gene1896	-0.121274507	0.433581862
gene1897	0.112838028	0.58196685
gene1898	0.166793712	0.777990384
gene1899	-0.136378863	0.694890364
gene1900	0.09762642	0.434140153
gene1901	-0.136101808	0.449274554
gene1902	-0.049734526	0.772845213
gene1903	-0.125057299	0.435798292
gene1904	0.119630686	0.440790911
gene1905	0.130546574	0.512012422
gene1906	-0.179851233	0.437920677
gene1907	-0.108728702	0.449274554
gene1908	0.04283761	0.796531444
gene1909	-0.077820666	0.441140428
gene1910	-0.084753421	0.442698351
gene1911	-0.102417654	0.44942156
gene1912	-0.088032688	0.449274554
gene1913	0.100460566	0.447713607
gene1914	-0.092836267	0.44628973
gene1915	-0.159332526	0.730794597
gene1916	0.169834493	0.450267061
gene1917	-0.165290681	0.524501416
gene1918	-0.283546449	0.518030424
gene1919	0.25922759	0.455327065
gene1920	-0.123513304	0.451417634
gene1921	-0.3052602	0.454016992
gene1922	0.202378746	0.523827249
gene1923	0.118541	0.459627566
gene1924	0.173019852	0.519061293
gene1925	0.183147579	0.742027453
gene1926	-0.22051934	0.748018673
gene1927	-0.284289776	0.522609194
gene1928	0.063807081	0.455327065
gene1929	-0.088978238	0.455327065
gene1930	0.097588368	0.756325529
gene1931	-0.18563219	0.463713916
gene1932	-0.068162912	0.46060827
gene1933	0.051909331	0.872736264
gene1934	-0.105355841	0.475011584
gene1935	-0.180036462	0.473048167
gene1936	-0.039362768	0.883654521
gene1937	-0.182457104	0.473048167
gene1938	0.142117738	0.473329793
gene1939	-0.11795918	0.467737928
gene1940	-0.12848404	0.471710256
gene1941	-0.024044208	0.900178914
gene1942	0.068853465	0.906918534
gene1943	0.082519239	0.477377229
gene1944	-0.101614922	0.473048167
gene1945	-0.119388819	0.547875969
gene1946	-0.121706005	0.475133458
gene1947	-0.251416184	0.477377229
gene1948	0.210229915	0.494869131
gene1949	-0.318393794	0.475109205
gene1950	0.00943362	0.967703635
gene1951	0.118170821	0.480610523
gene1952	-0.002837928	0.990083963
gene1953	0.160091987	0.482221889
gene1954	-0.115887765	0.823943773
gene1955	-0.121341355	0.840075366
gene1956	-0.145007478	0.488847855
gene1957	0.060638514	0.839723717
gene1958	-0.178944062	0.503606177
gene1959	0.128917525	0.489174221
gene1960	0.086775091	0.49815498
gene1961	-0.251565768	0.58196685
gene1962	0.074820958	0.845869808
gene1963	-0.04729231	0.850483966
gene1964	-0.151690281	0.502304498
gene1965	-0.124803364	0.498306362
gene1966	0.131352663	0.500607301
gene1967	0.157408459	0.503797574
gene1968	-0.102209768	0.499398394
gene1969	-0.17389943	0.498306362
gene1970	-0.58859808	0.583140131
gene1971	0.105243797	0.50255242
gene1972	0.04461781	0.885033225
gene1973	0.052092365	0.894466502
gene1974	0.08765341	0.503797574
gene1975	-0.419405607	0.50255242
gene1976	-0.047293576	0.894466502
gene1977	-0.147298536	0.504583098
gene1978	0.034223594	0.897771257
gene1979	-0.087473559	0.503797574
gene1980	0.09166713	0.506561928
gene1981	0.152377608	0.503797574
gene1982	0.151474207	0.50521215
gene1983	0.165911757	0.511909604
gene1984	0.269557902	0.598676113
gene1985	-0.031756419	0.945416954
gene1986	-0.175729886	0.518728115
gene1987	0.022575262	0.945416954
gene1988	0.067301364	0.516847277
gene1989	-0.017210043	0.958792294
gene1990	0.015876639	0.963786265
gene1991	0.008697558	0.975904301
gene1992	-0.089406516	0.515148162
gene1993	-0.218248078	0.51288694
gene1994	0.099957585	0.625344101
gene1995	0.061542288	0.518728115
gene1996	-0.174129117	0.51898324
gene1997	0.079067561	0.518728115
gene1998	0.062470297	0.522055547
gene1999	0.09284575	0.5210838
gene2000	-0.06263254	0.5226092
gene2001	-0.1482335	0.5212426
gene2002	-0.09547413	0.526697
gene2003	0.1600742	0.6309056
gene2004	-0.06167592	0.5304178
gene2005	-0.05288206	0.5245014
gene2006	-0.140116	0.5290299
gene2007	-0.1048218	0.5304178
gene2008	-0.08537012	0.6270027
gene2009	0.173165	0.5356046
gene2010	-0.1598962	0.534344
gene2011	0.0707898	0.5345317
gene2012	0.06255	0.6421064
gene2013	0.1604748	0.543052
gene2014	0.3114113	0.540904
gene2015	0.1638687	0.6448776
gene2016	0.07927736	0.5429356
gene2017	0.06755334	0.5432945
gene2018	0.3922844	0.5636921
gene2019	-0.09025776	0.544228
gene2020	-0.05825108	0.544763
gene2021	0.09297466	0.5524441
gene2022	0.08399818	0.5517118
gene2023	-0.08879301	0.5568155
gene2024	0.05871881	0.5517118
gene2025	-0.1474758	0.5523323
gene2026	0.1153146	0.5659293
gene2027	-0.135953	0.6707779
gene2028	-0.1143209	0.6785241
gene2029	-0.1041609	0.5819669
gene2030	0.0853023	0.5739238
gene2031	-0.08866037	0.5758106
gene2032	-0.07605716	0.5769593
gene2033	0.07720758	0.6963269
gene2034	0.0602629	0.5819669
gene2035	-0.06435069	0.7005786
gene2036	0.1257241	0.5854027
gene2037	0.09398605	0.5959685
gene2038	-0.1460055	0.710676
gene2039	0.06422946	0.5968317
gene2040	-0.1385011	0.5968317
gene2041	0.09140929	0.59435
gene2042	0.09010411	0.8666362
gene2043	-0.0480016	0.6038823
gene2044	0.08682364	0.6044876
gene2045	-0.06612732	0.6068941
gene2046	0.09928852	0.6106537
gene2047	0.05615486	0.7317253
gene2048	-0.06595565	0.6072568
gene2049	-0.1060757	0.610259
gene2050	-0.06345517	0.615088
gene2051	0.1367171	0.610259
gene2052	0.0562833	0.6110203
gene2053	-0.03093315	0.911889
gene2054	0.04397028	0.913865
gene2055	0.05185774	0.615088
gene2056	0.05632861	0.615088
gene2057	-0.1406183	0.6158371
gene2058	-0.236411	0.6189514
gene2059	0.08177378	0.7497681
gene2060	0.07825885	0.7497681
gene2061	-0.0873794	0.624978
gene2062	0.08061036	0.6228623
gene2063	-0.06816278	0.6264116
gene2064	0.05028018	0.624978
gene2065	-0.04237073	0.6230628
gene2066	-0.05309008	0.634166
gene2067	-0.05298706	0.6346108
gene2068	0.07445242	0.7671565
gene2069	0.1615255	0.6369698
gene2070	0.06270805	0.6355034
gene2071	-0.07477662	0.6429508
gene2072	0.04827706	0.6415468
gene2073	0.06418857	0.6405382
gene2074	-0.08607732	0.6443032
gene2075	-0.04414635	0.7814382
gene2076	-0.08044308	0.7829258
gene2077	0.07706692	0.6488394
gene2078	-0.04757223	0.7953884
gene2079	0.08961619	0.6476466
gene2080	0.078257	0.6476466
gene2081	-0.08017792	0.6488394
gene2082	-0.05802385	0.6495217
gene2083	-0.131869	0.8026741
gene2084	-0.04574299	0.6519252
gene2085	0.06208754	0.6573719
gene2086	0.08415356	0.8091932
gene2087	0.09794667	0.8099564
gene2088	0.04678211	0.6584212
gene2089	-0.1028547	0.6605172
gene2090	0.09460617	0.8258706
gene2091	-0.06973653	0.6671688
gene2092	-0.0876868	0.8254219
gene2093	-0.0498178	0.6707779
gene2094	0.09753449	0.6705642
gene2095	0.05085698	0.6715636
gene2096	0.09333437	0.8335435
gene2097	0.05816779	0.6705642
gene2098	0.04516066	0.6715145
gene2099	-0.0713261	0.6715636
gene2100	0.04720232	0.6754163
gene2101	0.07781877	0.6779372
gene2102	0.04358953	0.8481184
gene2103	0.02816391	0.8483267
gene2104	-0.1272315	0.6822656
gene2105	-0.09002333	0.6894222
gene2106	0.04699951	0.6859582
gene2107	-0.05299719	0.6856133
gene2108	0.03232714	0.6859582
gene2109	0.0913521	0.6903116
gene2110	0.0252865	0.8751377
gene2111	-0.0460777	0.6938658
gene2112	0.02483301	0.8867272
gene2113	0.03744948	0.8875307
gene2114	0.1035617	0.6993606
gene2115	0.02988558	0.8977713
gene2116	-0.02287259	0.8977713
gene2117	0.07018426	0.7033262
gene2118	0.04877433	0.9073854
gene2119	0.04823839	0.705835
gene2120	0.07435982	0.7152161
gene2121	0.03172234	0.9174726
gene2122	0.02077142	0.9199483
gene2123	0.05446104	0.9232613
gene2124	0.0287537	0.9241142
gene2125	0.04286854	0.9287784
gene2126	-0.07252349	0.7152161
gene2127	0.08255905	0.7166958
gene2128	-0.02203548	0.9437211
gene2129	0.03634011	0.7177464
gene2130	-0.009477595	0.9465683
gene2131	0.05244615	0.7207169
gene2132	0.02965541	0.95954
gene2133	-0.00814977	0.963588
gene2134	0.1426066	0.72411
gene2135	-0.03286071	0.7250955
gene2136	0.06351608	0.7252197
gene2137	-0.000393415	0.9975935
gene2138	-0.000550829	0.9980027
gene2139	-0.04325881	0.7307946
gene2140	0.07743691	0.7264699
gene2141	0.06912501	0.7299002
gene2142	0.1189776	0.7289976
gene2143	-0.03666449	0.7289976
gene2144	-0.07083009	0.7307946
gene2145	-0.04070444	0.7317253
gene2146	-0.07223413	0.7359876
gene2147	-0.04058832	0.7368493
gene2148	-0.04202848	0.7356806
gene2149	-0.03903771	0.7375153
gene2150	0.1858085	0.7389292
gene2151	-0.03658346	0.7422223
gene2152	-0.03485284	0.7420275
gene2153	0.07517892	0.7480187
gene2154	0.1182788	0.7465815
gene2155	0.03946342	0.749387
gene2156	0.03122739	0.7465815
gene2157	0.0346002	0.7472654
gene2158	0.04661172	0.7482706
gene2159	-0.04727722	0.7531131
gene2160	0.04148433	0.7545835
gene2161	-0.1169891	0.7561956
gene2162	-0.08530384	0.7552888
gene2163	0.04739884	0.755968
gene2164	-0.04277468	0.7605996
gene2165	-0.1152733	0.7561956
gene2166	-0.04994413	0.7599431
gene2167	0.04742037	0.7668103
gene2168	-0.05182497	0.7668103
gene2169	-0.05325588	0.7699437
gene2170	0.03328535	0.771371
gene2171	-0.04519587	0.771371
gene2172	-0.09026048	0.7751412
gene2173	0.03197749	0.7750767
gene2174	-0.04901795	0.7766942
gene2175	0.2294771	0.7796105
gene2176	-0.06415537	0.7814382
gene2177	-0.03609763	0.7846841
gene2178	-0.03868696	0.7846841
gene2179	0.02979708	0.7872744
gene2180	0.06932661	0.7962381
gene2181	-0.02341547	0.795831
gene2182	0.09312527	0.8004581
gene2183	0.03845936	0.7962381
gene2184	-0.03824032	0.7976971
gene2185	0.0336707	0.8003771
gene2186	0.04491175	0.7981567
gene2187	-0.03556264	0.8042957
gene2188	-0.03856272	0.8006144
gene2189	-0.04306429	0.8046754
gene2190	-0.04231765	0.8090305
gene2191	0.05506489	0.8079187
gene2192	0.04477349	0.8082505
gene2193	0.03915105	0.8090305
gene2194	0.03782516	0.8107287
gene2195	-0.05028607	0.8124601
gene2196	0.07056576	0.8201045
gene2197	0.03236239	0.8198399
gene2198	-0.02514777	0.8216294
gene2199	0.02196616	0.8216294
gene2200	0.01871809	0.8216294
gene2201	0.05898008	0.8233081
gene2202	0.05722164	0.8266788
gene2203	-0.03433735	0.8299528
gene2204	0.05462253	0.8329535
gene2205	0.0350522	0.8329535
gene2206	0.02187923	0.8368993
gene2207	-0.05101922	0.8403956
gene2208	0.03820516	0.8390955
gene2209	0.02358303	0.8448322
gene2210	-0.02063951	0.8501183
gene2211	-0.03745136	0.8522784
gene2212	-0.04395074	0.8513573
gene2213	0.02239042	0.8521454
gene2214	0.0468516	0.8565934
gene2215	-0.0189053	0.8682839
gene2216	0.02612833	0.8649743
gene2217	-0.03166632	0.8658446
gene2218	-0.01748496	0.8663029
gene2219	0.03287557	0.8674293
gene2220	0.02775431	0.8738711
gene2221	0.02539298	0.872948
gene2222	-0.07374253	0.8794669
gene2223	0.04036752	0.8783889
gene2224	0.02451178	0.8783889
gene2225	0.019716	0.8788242
gene2226	-0.04168512	0.8807096
gene2227	-0.08091641	0.8797603
gene2228	0.02442661	0.8836237
gene2229	0.02747321	0.8878659
gene2230	-0.02418251	0.8884765
gene2231	0.03737166	0.891352
gene2232	-0.0156799	0.891352
gene2233	-0.03278987	0.8917422
gene2234	-0.01739492	0.8944665
gene2235	0.02994547	0.8944665
gene2236	-0.01746581	0.8967073
gene2237	-0.01322857	0.8977713
gene2238	0.02164216	0.8977713
gene2239	0.02137842	0.9001789
gene2240	0.03950306	0.9003039
gene2241	-0.0122518	0.9028783
gene2242	-0.0188662	0.9069185
gene2243	0.02029651	0.9093863
gene2244	0.01303387	0.9101552
gene2245	0.01561192	0.9174726
gene2246	0.04067075	0.9174726
gene2247	-0.01304563	0.9199483
gene2248	0.01176962	0.9223844
gene2249	-0.04041427	0.9241142
gene2250	0.02024828	0.9260535
gene2251	0.02174836	0.9299154
gene2252	0.01390533	0.9299162
gene2253	0.02398267	0.9299162
gene2254	0.01578384	0.938065
gene2255	-0.02528511	0.9435943
gene2256	-0.01558078	0.945417
gene2257	0.00977402	0.9453752
gene2258	0.01321598	0.945417
gene2259	-0.007857087	0.945417
gene2260	-0.009528544	0.9455441
gene2261	-0.007001453	0.9455441
gene2262	-0.007128369	0.9468125
gene2263	0.007491237	0.9468125
gene2264	-0.009894445	0.9490862
gene2265	0.008089213	0.9495923
gene2266	-0.01541262	0.9533081
gene2267	-0.01233366	0.9545027
gene2268	-0.01035646	0.9545027
gene2269	-0.008066396	0.9545027
gene2270	-0.009637779	0.9583346
gene2271	0.006035111	0.9596037
gene2272	0.009287531	0.9603314
gene2273	0.01095805	0.9608761
gene2274	-0.005311285	0.9605282
gene2275	0.006566341	0.9610703
gene2276	-0.01000582	0.963588
gene2277	0.006827175	0.9636629
gene2278	-0.01555912	0.9649317
gene2279	0.005542184	0.9674018
gene2280	-0.008153948	0.9677036
gene2281	0.008479577	0.9677036
gene2282	-0.004433471	0.9677036
gene2283	0.01022623	0.9689458
gene2284	-0.009161665	0.9695412
gene2285	0.004519228	0.9707569
gene2286	-0.004633131	0.9749498
gene2287	0.0059509	0.9750991
gene2288	0.009676024	0.9753646
gene2289	-0.004802988	0.9755662
gene2290	-0.00719112	0.9786543
gene2291	-0.006324245	0.9797239
gene2292	-0.003450019	0.9797239
gene2293	0.005051324	0.9854145
gene2294	-0.002572818	0.9856887
gene2295	0.002062817	0.9883952
gene2296	0.002592373	0.989269
gene2297	0.001631229	0.9894826
gene2298	0.001726412	0.990084
gene2299	0.00129929	0.9959011
gene2300	0.001156783	0.9980027
